G_sol,DeltaG_sol,volume,sol_dip,O_charges,C_charges,Most_neg,Most_pos,Het_charges,MW,SASA,Lsolu_Hsolv,Lsolv_Hsolu
-21731.8433,-417.1537,148.124,7.25615,-1.09242,-0.04104,-0.39886,0.52854,-0.56388,139.1104,288.7661743,10.922,15.33
-30771.9161,-34.8207,378.576,4.06748,-1.45929,0.6404,-0.41893,0.42902,-1.45929,312.3646,604.6594238,11.418,15.073
-27327.1031,469.7775,289.545,2.38349,-0.26943,1.79474,-0.51158,0.42642,-2.43552,225.293,491.2127075,12.369,15.29
-26991.1694,-153.8187,315.649,3.30898,-0.46716,1.12574,-0.46716,0.44144,-1.79242,268.3176,480.7107239,11.603,14.493
-18521.9576,-0.0295,117.505,1.87326,-0.32946,-0.24685,-0.32946,0.22933,-0.32946,94.1128,257.9651184,12.332,14.864
-25104.4474,87.0315,265.744,5.86693,-1.11589,1.18222,-0.4914,0.51323,-1.53108,211.2602,443.2851563,11.457,15.764
-28614.6344,-29.9947,326.948,7.52288,-0.74135,0.72745,-0.51245,0.50627,-1.64754,290.7487,537.6580811,11.958,14.421
-19809.0382,-53.6627,139.251,1.84357,-0.32958,-0.18262,-0.32958,0.22983,-0.32958,108.1396,289.1115417,12.248,14.783
-24336.2696,-119.4099,193.241,3.3287,-1.44611,1.12405,-0.40312,0.37742,-1.44611,160.1694,386.0081177,12.955,16.816
-23072.2964,-0.7256,217.808,6.57281,-0.73454,-0.28512,-0.36783,0.50712,-0.22742,187.1976,368.846344,11.109,14.575
